4025,-171,924,-98,-3433,608,344,-1045,-4032,359,2886,-124,4222,480,2514,-6163,-1886,3977,-1072,-1211,2958,530,1909,2076,954,1901,5700,213,-1579,437,235,4275,840,-1858,-3606,2738,1029,-422,2439,1035,-1393,1322,-1699,-383,-1169,4817,841,1642,-85,14714,-645,180,-1124,83,1763,3626,-2513,-1210,488,2091,-821,2514,-805,4399,-189,3724,-2226,1301,4466,615,2101,-2097,1769,3004,6885,1061,-1891,6928,1991,-317,-554,-246,-1148,1538,-2224,-2466,89,-4209,687,3080,3326,525,1485,59,-1380,4712,321,3350,-274,1919,-530,-1940,-1209,394,-494,-451,6008,-170,-3030,1263,-965,-2918,7949,5566,-673,1856,1685,4369,-2108,-2327,-449,-1315,471,-404,-461,-4936,-1699,504,-156,5509,-830,145,-390,-737,1332,1087,-1533,-329,-549,-2641,442,1275,1985,2573,7208,-1187,2435,1804,-2162,-2416,980,1045,-201,534,1101,336,2121,2377,3140,2010,1537,1516,1309,660,3140,885,2545,2077,524,945,753,381,3377,1304,1004,1415,1005,495,-869,1145,2456,800,-2069,1273,279,665,3111,846,-247,2383,-661,1724,659,2602,539,634,522,1786,4887,2856,1301,1282,1711,1132,1546,413,1094,1654,-1162,1941,1713,502,1814,321,-691,514,3315,1684,2003,852,508,414,1373,813,1673,294,2146,2042,1524,1625,1427,990,540,484,1677,634,1700,1604,859,367,294,-433,1254,241,1446,747,2594,1193,148,-89,1006,1004,1755,246,906,2174,-228,1280,2033,955,315,1006,1192,1992,1040,1261,-183,644,1637,1699,-29,612,2491,-255,-42,-128,3195,1315,353,1595,2031,3592,-775,724,1412,426,1466,1478,1610,1719,-102,971,1853,-250,1381,109,1638,924,242,2752,
158,1794,3181,-953,333,3816,-703,1732,-1138,678,2676,1395,2501,1095,-182,-1877,-302,2296,-154,152,2838,-2055,550,914,-3568,1688,3563,271,-1800,-165,2128,4690,41,195,-1883,-2227,523,-1209,2472,-1434,-1995,1366,591,794,-2480,2441,1530,597,1221,9167,1689,-3540,-1640,2347,3016,380,-872,-4508,481,-2015,1184,1802,905,5867,1988,835,-3172,-568,1633,586,980,-2157,1860,1830,2458,1011,-2354,3976,1877,1346,1277,2930,-680,765,475,-1980,-1044,-1128,3449,-984,795,2943,563,-1108,538,1399,-2027,251,1018,1441,-4571,-148,-3126,-2134,-1596,-617,1925,3617,2057,-3021,981,-1913,5955,-44,746,2286,2579,4485,-1682,-3630,-3779,-2177,1631,-253,27,-4416,-3012,3179,-1908,9733,2744,-1174,-221,440,810,2873,457,3005,-2403,1148,713,1364,1305,1947,6409,-3359,1754,2905,-194,235,1497,1266,1861,-368,-1682,604,1411,691,-1863,-1372,-828,1145,1274,1237,-538,-427,535,423,-264,-1868,453,578,1045,300,2397,736,540,-159,-521,911,-695,1281,-1373,1078,1948,279,1497,2509,1383,53,-1467,1549,1399,853,2042,108,394,-4,361,1167,2540,1451,520,873,-290,-973,-242,305,-1511,1770,566,1620,1641,1732,461,897,2657,744,1629,321,2013,-3220,2923,872,215,-458,-120,-388,1176,-1526,-26,-546,-1,-982,-1544,294,741,2354,-2932,-1183,-1269,1603,1337,1327,180,113,227,2881,529,326,-1454,-1872,-397,1240,826,-570,-1330,3480,1962,-206,-55,1986,709,455,1517,-2,-933,574,-352,726,1502,-1143,789,593,384,1037,503,-665,-2121,-122,1809,956,796,2009,2147,50,2890,570,1136,-1502,-1157,2415,-313,1324,-1870,-2118,1896,490,1800,-1655,
-1590,1963,-1888,-1285,-1653,1518,92,72,-229,5241,-249,72,-1223,-1078,960,-2167,-127,1144,-137,-3066,1475,-3976,303,-2610,78,3056,936,651,-2603,-693,339,4680,574,-57,341,-5002,-263,-29,1186,284,-778,2988,733,-3655,-3354,-2125,2079,2918,2574,-1080,-1683,-939,333,-331,-462,551,-1648,-1166,-3421,-257,87,-904,747,2247,2763,3359,-2709,-1868,3324,3339,-1264,1140,1196,-1967,1972,649,-1864,2304,-4413,-18,-152,1822,-983,551,155,296,-2569,1078,907,-787,-836,3177,-4078,-2131,-345,1767,-1949,303,-544,407,-3941,-1046,-2015,2468,-2580,1390,2859,1660,1447,-1733,1308,169,1101,-3521,-640,-21,348,-1874,889,1501,-2407,1361,101,332,1757,-1808,-2334,1315,-2670,1595,3025,-389,1078,-341,-419,-1111,520,1783,33,-1676,1029,-1873,1598,3806,-2513,-4133,2111,-575,1538,-837,843,887,1785,712,-2528,1070,2711,1191,2044,-589,1965,843,-1242,511,654,143,536,-30,-131,1004,-1235,1476,-493,-402,877,1144,-42,571,-1497,-553,95,2005,-116,-327,3215,500,298,516,-278,87,981,309,730,-3096,1658,1406,344,-735,-166,1320,907,-207,951,-78,293,1472,-184,924,-1018,-572,-486,-437,-1445,1223,-410,2898,3627,3372,338,412,-796,-1894,733,4384,82,-1091,263,434,1172,692,1984,1088,-16,614,424,-2147,-687,1159,-1385,760,-1596,235,2930,1491,284,1618,2889,150,-1643,1725,973,860,1491,201,-262,1174,1820,-143,2330,-2955,2282,-11,1812,1144,240,270,2777,221,2775,-969,590,2139,-1140,-175,1402,-411,-178,-1027,-169,551,1629,1732,500,-423,-1408,2594,-1068,1232,1167,3988,-555,-4,3070,325,-1262,1153,1318,2098,2476,2051,
-828,-4851,-1099,57,717,4948,2628,342,2492,-688,-1912,-3521,472,-2708,-2236,900,-2897,-1204,682,181,150,548,4752,-125,-3013,1454,-42,-3056,-1293,-945,-1869,-2830,-3161,-312,5069,-2237,3317,-2243,1565,-1252,397,3631,127,-712,-396,544,-3298,673,-963,-725,277,397,-3372,427,106,-149,-626,-330,-320,3694,-1472,2875,-2726,743,-538,2413,719,-1551,844,194,-1328,-670,-264,-2862,-2346,-167,-133,-2827,-880,463,192,887,-3654,-2061,1307,-2981,1527,-292,-1262,-2840,625,-3124,-2681,602,-553,-2478,-228,-79,392,-1824,-2359,87,215,481,2140,18,-2840,4011,-453,1241,335,-1980,-2798,-1228,-3597,-1203,-3243,10,874,-992,-2902,1468,1683,-504,-4055,-99,311,-381,-1684,-915,-2082,-1891,-404,-530,-1053,65,339,-819,2164,3393,-1612,6200,262,-66,773,-173,-574,-891,948,913,1795,1042,1654,2075,733,210,3630,143,-576,768,751,365,1187,1003,1792,43,1735,-969,-112,2633,-351,1182,2151,-117,543,4068,2738,2258,1336,1045,135,-620,1937,522,1136,3135,2813,1097,1911,-334,579,801,3139,-701,1299,669,1646,1931,1202,594,1294,2380,2431,148,1448,1318,389,1704,1090,1187,-900,1252,-370,1210,1855,1256,1668,1025,2026,179,1492,739,1721,2341,3965,1737,53,2569,837,519,-429,721,1996,-2310,1042,-581,-299,-1505,320,487,431,1085,186,-561,703,60,426,607,1911,860,-2154,-465,1449,893,2144,896,988,2334,756,327,3317,-322,139,899,-230,560,852,-446,-1440,-164,922,721,1553,-424,1062,1326,-1579,121,421,51,-1297,992,607,-618,-185,-47,618,492,503,2920,731,-115,2000,1789,458,146,1211,-260,619,-1259,
-529,-3249,-417,976,-3924,-693,7468,4593,3015,523,659,-383,2362,-1076,-2080,514,-820,1885,-52,129,189,-3192,1781,-4250,7,-4125,-1825,1399,2390,2105,-1546,-1350,-1002,-2613,1224,676,1767,232,-3103,-92,-3513,-3598,-1366,-2963,1167,-931,-1649,4762,2877,1058,-1103,-3466,-237,1466,-2745,-974,4362,2871,-1807,-850,-89,1553,-1900,-2449,1786,-1603,234,-18,-491,-4349,-3253,-2656,-2988,-1684,-3464,-1768,-1738,-3010,2440,1455,-300,3734,-4176,-2703,1844,-4803,-1327,-1609,-700,-1684,2725,92,-315,-3101,-3119,-735,-138,-4527,-1088,265,-1437,565,-250,-805,-1772,574,-2937,847,-3784,577,3962,1487,-2504,1329,699,-1858,-493,438,-534,1507,1073,2450,443,-642,926,357,-241,1583,651,-6254,-2242,-1972,-3775,-522,-1286,1437,1808,-652,-1079,1672,-1105,-722,-2385,-879,-635,310,212,-465,-4025,2335,1901,-1164,3007,1683,384,1410,4525,-1867,-978,2722,1543,2624,-611,3379,4423,1362,1845,-392,1991,501,2206,3107,1701,4631,1471,3694,-1631,1627,-468,1193,1709,258,171,-391,-1671,279,-280,1238,496,4218,2963,1830,2241,2054,-1151,5432,-1464,1081,-2246,764,-94,1681,1136,256,522,4256,-2125,3728,-540,3588,767,3318,-1010,4110,487,-93,295,1118,1312,-77,3878,-605,1447,1228,762,3577,921,2679,-720,2168,2384,-223,-435,-777,-53,588,2545,314,-2264,2650,2115,-761,2093,-442,-1164,-274,-1164,3136,868,-117,620,1512,-3373,813,109,1411,2184,2969,-484,1277,1532,101,1229,1045,-791,-1476,1368,83,3870,1060,533,1047,3190,1798,3073,-163,-221,1791,-733,323,-1803,-214,5828,-1977,-147,3876,3087,48,-1621,1489,-1172,1652,1912,1219,832,-1179,5080,2528,2257,-734,
-1779,3871,-1151,0,-1718,-191,1530,5377,-4095,869,-351,3651,24,-3857,-422,31,4612,1553,2253,-3231,634,-5696,471,-5126,4492,-3834,-1974,2048,-381,3773,-104,-3644,-1720,-601,-4026,-2149,1471,-598,-4800,752,-785,-1073,-3665,-3827,-1267,1378,-552,3044,195,-2601,1227,-1193,93,215,-5105,-150,1447,3943,-4290,-3858,63,-370,558,-3566,-745,1141,3690,1380,-2516,-6985,-3616,708,-438,846,-5564,-3280,1099,-2060,-145,-1442,-2020,2087,1170,1595,-1332,480,-2144,2528,392,-173,-2093,-3341,-1921,-967,467,-5409,548,-1953,2070,-925,-500,-3932,-3317,-1047,-2321,497,-1351,23,-1493,216,4585,-67,-1455,3720,1902,-3040,2655,-631,1658,219,-773,-19,783,1870,1899,3840,-1607,-3533,-123,-4875,278,1038,-2665,-93,-1606,1131,-40,1649,-1736,588,122,-2000,-2501,-2885,-337,-1574,5733,-751,-4576,-1998,420,488,152,-84,-1628,668,-730,2940,369,2731,4048,447,980,193,-396,747,-990,439,-700,-161,638,2401,1442,-912,1389,1748,-164,-34,1625,1213,877,259,-1492,621,1047,-822,-78,1742,1519,-53,-1111,1878,778,2223,944,964,-619,886,-751,2744,296,743,887,121,3453,721,437,2111,-2333,299,-174,1116,306,369,2030,2816,2477,-1376,2053,1195,355,-1309,-539,-2272,1878,994,4026,-789,-1519,756,132,-1624,1419,1521,-1640,2686,-1221,-160,-4620,2173,1751,1114,2065,2272,892,-1236,3981,183,-944,-2895,850,43,1358,1161,-286,-2467,1294,2031,-1805,-556,469,1379,945,-1346,871,1680,2020,1000,1879,1649,1439,1219,-284,1943,2050,3483,737,31,275,-2353,807,1725,-1531,621,1001,282,-45,1393,1994,522,1576,301,1304,865,549,2421,1788,-541,1991,961,
-375,2225,-4912,-255,-3262,3829,-510,-4899,-1182,1874,-1034,-1500,-881,1844,-1359,3171,-1120,154,2606,-5785,3433,-3242,2829,2263,-299,3296,-987,-592,1111,-2238,-3551,-197,-2030,378,1509,-1396,3169,-767,1290,2882,-2874,772,633,-734,551,2174,-2340,3637,1764,933,2268,-3657,229,2518,459,1884,-1006,-629,-540,2585,-2949,2085,2510,-2106,1887,-213,447,719,4040,3477,-3101,-802,4326,-2408,-2083,331,1157,-1088,-1680,-218,-1346,586,-1222,-3131,-14,-2234,6489,-2637,1462,506,565,-226,322,-1599,640,-2559,-949,1193,-572,3876,-2171,1506,-1797,1706,149,1029,1056,1447,-2056,-149,-1160,-2238,-3342,324,-919,370,-2054,3249,-1132,-1054,1210,-1334,3499,338,1574,-1909,-1069,2611,-390,-2972,-3846,2593,-1909,-1905,-1370,307,55,1893,409,-2453,-554,1582,-2581,1478,68,886,4005,135,2058,630,694,2074,2114,3053,709,1821,5152,-551,138,389,1752,1674,-978,2156,-1138,1474,1364,1442,-155,3337,736,853,-494,2166,391,315,-403,126,2635,-95,1841,185,-2570,-947,732,3230,1820,1665,1365,789,1901,-180,1601,-1387,1650,904,369,-565,-1967,2806,1865,2583,2007,2846,-1587,2687,-128,3211,-508,663,911,-43,1285,1310,1971,-2927,1741,1144,-1779,667,1256,2051,1229,3476,1597,-1398,1080,511,-1382,1734,2384,192,18,-1681,352,2632,315,2775,1645,1087,100,915,750,1273,1546,1220,866,2090,983,1723,-481,1023,-1250,-123,1762,748,401,1755,3600,-513,1224,1829,1692,968,-429,-148,1249,-1598,485,1640,-178,2044,-300,1187,1466,778,1224,1836,-129,-529,1103,-1069,2932,1016,1089,330,973,322,556,-375,-197,2720,478,2488,2568,696,1360,-1310,2035,189,
-578,-434,1604,123,4830,15,1179,984,2632,1951,-414,355,-5013,1764,2683,-2440,3574,905,2064,3260,-2647,2924,-3158,-2839,2851,1675,-478,-871,-2462,623,3359,930,901,1523,-1713,-1970,-2895,1003,3200,-2245,2531,2104,290,2637,-1945,-8366,3322,-6489,-257,-4817,-1562,1640,972,-4114,3214,-6934,864,436,-322,-2929,2905,-5453,-1607,2765,608,-21,-1059,-1221,-422,4474,1185,735,-2221,521,-571,-2278,809,2141,-1464,305,-3255,-2463,-1146,2625,1262,3780,-6556,5171,917,-2302,-6330,-649,3743,785,5171,1186,840,1488,-1149,-5161,3158,-401,-1093,-814,745,1917,915,759,6314,-1981,195,761,-1943,-3663,242,-249,801,-1402,4863,1668,146,-132,-4151,2013,-2855,-1644,755,-2660,-812,281,3366,-3591,-2386,1819,-1728,-574,-959,184,3223,989,-411,-1111,1663,3317,-3657,-731,-4326,-2749,1876,596,-1939,-196,-1776,1097,-1422,27,-2831,-1174,4,-2184,-1390,-1559,1032,-2168,-1600,53,-1519,-894,-2766,-2715,-2788,543,-1670,-763,-1084,-1183,-332,-1283,-152,-121,-2165,-2026,1064,386,925,70,-139,-2047,-1245,-939,-358,-1346,-1561,-120,-1999,-1366,531,-487,1119,-517,-431,-1101,-176,350,-3249,1222,1973,-2458,524,-1916,177,-904,-2942,48,-1038,1267,891,-977,523,2115,-392,1224,-1313,833,-958,-1825,16,-2339,-845,-889,1420,-1191,-39,636,4,-1405,420,-688,2,806,-774,-384,603,1492,-1380,-1413,-295,-3082,863,-1161,1654,-1518,2836,107,108,-852,1688,-3418,-3153,1158,-1808,-1387,-878,-1869,-1299,1369,237,979,-544,-746,-430,1018,-1912,124,866,74,-1829,-140,3466,1446,-1333,1596,-1264,-451,-1106,-1865,-2647,314,-974,926,701,-3744,-1096,-2474,-509,106,-2067,-795,-2736,1082,
1037,-690,1699,-2286,3507,-1699,-782,640,-1540,-3044,4905,1805,-950,2147,-7,1940,-186,1648,2650,1494,-1592,672,-5587,-1549,146,-2298,1488,2153,1125,2316,834,1091,191,3105,-1715,995,-6979,-1269,-2208,3342,-8,-3338,1398,-287,1834,-4004,-107,-2780,1489,-565,-325,-126,-588,-1193,187,-1632,290,-134,777,-3857,-1655,-4552,-2743,3403,-1061,-598,863,-1369,-1951,1613,2651,-911,-2635,-688,-1334,-1447,281,994,2196,45,-1637,2685,885,3682,-517,-710,-2617,1590,-2045,342,-957,-3911,1977,2624,-53,-1877,4126,-1496,-468,-1590,-363,158,891,-8411,-3401,1599,1087,-832,2284,361,47,749,-276,-245,3529,1322,-37,-1709,2408,565,-570,-3035,-3551,2321,1095,-202,4243,-1427,-2059,2646,521,1270,286,517,1524,822,3647,1856,-117,2353,1349,-67,945,-2423,352,1874,-2360,56,876,3046,1159,-2427,-1711,-1613,-668,-3448,-2467,-393,-1571,1686,-446,-4499,-1945,-1385,950,-1459,-1422,-1207,442,-479,354,-2122,-90,4124,-1684,-3693,2988,-3374,-2619,-47,-5043,-133,-1446,-2460,-1207,-1278,2274,-2692,1465,-1606,-981,-1020,-5569,1494,-5251,-390,-458,1656,-4375,-3403,-146,-1384,-5169,-765,-188,-1598,-3171,-2312,-338,1425,-1958,498,-11,-2338,1155,-3611,-1118,-2395,-4090,-3297,-3013,-380,1593,-2867,-1037,967,-1737,-643,-2846,252,-882,-189,-3095,-1712,-820,-1158,363,-1381,-2095,-2562,-2606,-1173,-5462,213,-1888,-3283,-1350,2481,-26,-1304,-4294,-476,-2724,901,-2269,-2930,-689,-1298,-461,-1549,-573,-1054,-837,-2484,-322,-4349,-3083,-1197,-3876,-3135,-1960,-3758,1127,330,-2484,-636,-347,1523,-5732,-2000,-1863,2106,1373,-829,-84,-2896,-49,-1306,2356,-1207,-4484,-382,-2887,-158,-1134,-1228,724,-4384,-2237,-1077,
-4907,-499,-2284,1319,3926,-2777,-693,912,3823,-2534,-3379,-5345,-797,445,-4563,5267,-438,-2403,865,5402,-2224,370,-2821,-3655,-1362,-1269,-1509,-175,1682,-343,180,-6271,-681,1617,4463,-528,-572,-117,-3076,-2423,-283,-4027,2142,943,1250,-867,-1810,1549,203,-2891,-2466,-69,1515,-1137,-3445,-2987,3634,982,-793,-1675,-1050,-295,-1014,-3184,186,-1684,2125,-6436,-4247,-650,279,756,-1853,-4521,-5292,-935,-253,-5966,1677,1118,-1685,879,483,-1622,1895,356,-1824,503,-2334,-1568,141,-4845,-887,568,825,-2353,1469,-2623,1268,-2009,69,202,1795,140,913,642,-3558,-3412,2624,1423,836,791,-6178,-2448,908,-2031,-221,-2581,-1021,1143,960,1403,-1084,935,1090,2205,1175,-2322,-233,-5098,-3485,-4448,-1863,790,-1569,-1939,2794,99,1959,3399,621,-2409,-3657,-3786,-2372,612,-2173,-5720,2837,1334,-1367,431,-273,-548,1032,1556,34,-1201,-1942,-2013,131,-1547,-2662,-1283,-851,171,-1808,-2912,156,-1779,-1228,-1778,-668,-1239,-619,-1905,-1442,531,-402,-461,-2273,-12,1149,-1726,837,-49,-3197,-607,421,-1859,-966,-503,657,-1082,-52,-973,127,-65,-2691,-2627,-512,-1414,349,130,-1928,-2707,-1388,-600,1097,-507,-842,-1616,-1643,-243,1218,-2151,-2390,-236,-1569,-1626,-1872,-64,-601,-613,-618,516,-2365,-271,-128,-929,-2474,-1744,-1311,-1184,-2448,-2383,-2342,-1754,-406,-1022,705,39,-105,-206,443,-679,-1672,-580,346,259,-652,-1441,-1129,-1734,-781,-2198,-490,175,-876,-786,-133,-495,-1248,276,-1277,-2108,784,-1220,-1962,-632,-1535,-1375,-1047,952,-501,866,-2553,-1481,-463,-1151,-3657,-3077,478,-971,-200,-2574,-879,-1251,-214,-817,868,-700,-1694,1106,-946,-277,-1553,-2688,-469,-1503,
